model_layer,entrypoint,case_label,ScenarioMode,FailureTiming,SE_Disrupt,Rocket_Disrupt,param,baseline_value,factor,trial_value,policy,tau_star_bisect (yr),tau_build (yr),Time_total (yr),TotalCost ($B),E_total (index),EnvPenalty,Total_FE_Launches,Total_FA_Launches,Total_SE_Throughput (tons),Apex_Inventory_Peak (tons),route_share_direct,regime_label,SolverSuccess,ConstraintOK,BuildOK,OpsOK,ReturnStatus,TimeseriesCSV,status
campaign_scale,run_bridge_sensitivity.py,mixed_base,mixed,relative,OFF,OFF,K_max_total_tpy,537000.0,0.8,429600.0,tau_star,8.013671875,8.013671875,9.013671875,79789.99477231049,1017820467.6763462,12942392863831.547,797668.7884765875,1154.0873384219558,136711.5332036616,125997.45356941297,0.9985552650363894,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK
campaign_scale,run_bridge_sensitivity.py,mixed_base,mixed,relative,OFF,OFF,K_max_total_tpy,537000.0,0.8,429600.0,cost_opt,8.013671875,8.41435546884731,9.41435546884731,79780.49244109969,1017743358.6054926,12324660616712.908,797555.0630586501,1247.4360932096702,149653.4818845856,112696.82595586168,0.9984383673129038,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK
campaign_scale,run_bridge_sensitivity.py,mixed_base,mixed,relative,OFF,OFF,K_max_total_tpy,537000.0,1.0,537000.0,tau_star,8.013671875,8.013671875,9.013671875,79769.15867387883,1017671279.274643,12938600451325.162,797407.3080810705,1419.2790015846483,169142.96028239856,156944.07963579855,0.9982232952376211,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK
campaign_scale,run_bridge_sensitivity.py,mixed_base,mixed,relative,OFF,OFF,K_max_total_tpy,537000.0,1.0,537000.0,cost_opt,8.013671875,8.414355468846258,9.414355468846258,79757.74984859531,1017581056.8668423,12320709171704.066,797269.8880675646,1535.734159386719,185434.60448669575,132179.55902994468,0.9980774620049552,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK
campaign_scale,run_bridge_sensitivity.py,mixed_base,mixed,relative,OFF,OFF,K_max_total_tpy,537000.0,1.2,644400.0,tau_star,8.013671875,8.013671875,9.013671875,79748.34242120077,1017522071.2894967,12934808576635.848,797146.3062447718,1683.0701533135705,201574.62921070054,187647.57000904586,0.9978930792944765,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK
campaign_scale,run_bridge_sensitivity.py,mixed_base,mixed,relative,OFF,OFF,K_max_total_tpy,537000.0,1.2,644400.0,cost_opt,8.013671875,8.414355468847488,9.414355468847488,79734.92435463626,1017417865.9478594,12316757977309.672,796983.7250350108,1824.8272801832225,221222.12606905313,166004.50562783793,0.9977155636667956,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK
campaign_scale,run_bridge_sensitivity.py,mixed_base,mixed,relative,OFF,OFF,alpha,0.02,0.8,0.016,tau_star,8.013671875,8.013671875,9.013671875,79789.47968892936,1017816622.008195,12942299098052.623,797662.3327048796,1160.6029440413115,137438.24232746288,126721.31891436256,0.9985471086366611,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK
campaign_scale,run_bridge_sensitivity.py,mixed_base,mixed,relative,OFF,OFF,alpha,0.02,0.8,0.016,cost_opt,8.013671875,8.41435546884744,9.41435546884744,79779.87250085932,1017738945.0455059,12324554240089.672,797547.273588853,1255.3742687088547,150626.39939977095,114006.24825814318,0.9984284300107469,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK
campaign_scale,run_bridge_sensitivity.py,mixed_base,mixed,relative,OFF,OFF,alpha,0.02,1.0,0.02,tau_star,8.013671875,8.013671875,9.013671875,79769.15867387883,1017671279.274643,12938600451325.162,797407.3080810705,1419.2790015846483,169142.96028239856,156944.07963579855,0.9982232952376211,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK
campaign_scale,run_bridge_sensitivity.py,mixed_base,mixed,relative,OFF,OFF,alpha,0.02,1.0,0.02,cost_opt,8.013671875,8.414355468846258,9.414355468846258,79757.74984859531,1017581056.8668423,12320709171704.066,797269.8880675646,1535.734159386719,185434.60448669575,132179.55902994468,0.9980774620049552,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK
