model_layer,entrypoint,case_label,ScenarioMode,FailureTiming,SE_Disrupt,Rocket_Disrupt,param,baseline_value,factor,trial_value,policy,tau_star_bisect (yr),tau_build (yr),Time_total (yr),TotalCost ($B),E_total (index),EnvPenalty,Total_FE_Launches,Total_FA_Launches,Total_SE_Throughput (tons),Apex_Inventory_Peak (tons),route_share_direct,regime_label,SolverSuccess,ConstraintOK,BuildOK,OpsOK,ReturnStatus,TimeseriesCSV,status,proxy_direct_launch_count,proxy_total_lunar_launch_count,proxy_direct_route_share,proxy_avg_direct_launches_per_yr,proxy_avg_total_lunar_launches_per_yr,proxy_env_per_year,proxy_env_per_direct_launch,proxy_cost_per_direct_launch_B,proxy_cost_per_total_lunar_launch_B,proxy_se_tons_per_total_launch,proxy_peak_direct_launches_per_yr,proxy_peak_apex_launches_per_yr,proxy_peak_delivered_tons_per_yr
campaign_scale,run_bridge_sensitivity.py,mixed_base,mixed,relative,OFF,OFF,K_max_total_tpy,537000.0,0.8,429600.0,tau_star,8.013671875,8.013671875,9.013671875,79789.99477231049,1017820467.6763462,12942392863831.549,797668.7884765875,1154.0873384219558,136711.5332036616,125997.45356941296,0.9985552650363894,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK,797668.7884765875,798822.8758150095,0.9985552650363894,88495.4322210212,88623.46964621557,112919627.18316127,1275.9938490513225,0.100028979352064,0.09988446398821979,0.17114123461246633,,,
campaign_scale,run_bridge_sensitivity.py,mixed_base,mixed,relative,OFF,OFF,K_max_total_tpy,537000.0,0.8,429600.0,cost_opt,8.013671875,8.41435546884731,9.41435546884731,79780.49244109969,1017743358.6054926,12324660616712.908,797555.0630586501,1247.4360932096702,149653.4818845856,112696.82595586168,0.9984383673129038,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK,797555.0630586501,798802.4991518598,0.9984383673129038,84716.90554895761,84849.40915978233,108105473.8131855,1276.0791144656685,0.10003132841403935,0.09987511622185433,0.18734728802611705,,,
campaign_scale,run_bridge_sensitivity.py,mixed_base,mixed,relative,OFF,OFF,K_max_total_tpy,537000.0,1.0,537000.0,tau_star,8.013671875,8.013671875,9.013671875,79769.15867387883,1017671279.274643,12938600451325.162,797407.3080810705,1419.2790015846483,169142.96028239856,156944.07963579855,0.9982232952376212,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK,797407.3080810705,798826.5870826552,0.9982232952376211,88466.42291170273,88623.88138381786,112903075.83718683,1276.2251724575099,0.10003565037024828,0.0998579165538278,0.2117392723496035,,,
campaign_scale,run_bridge_sensitivity.py,mixed_base,mixed,relative,OFF,OFF,K_max_total_tpy,537000.0,1.0,537000.0,cost_opt,8.013671875,8.414355468846258,9.414355468846258,79757.74984859531,1017581056.8668424,12320709171704.066,797269.8880675646,1535.734159386719,185434.60448669575,132179.55902994468,0.9980774620049552,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK,797269.8880675646,798805.6222269513,0.9980774620049552,84686.61404446322,84849.74089520394,108088233.9990449,1276.331982552698,0.10003858297208917,0.09984625499535489,0.2321398339307273,,,
campaign_scale,run_bridge_sensitivity.py,mixed_base,mixed,relative,OFF,OFF,K_max_total_tpy,537000.0,1.2,644400.0,tau_star,8.013671875,8.013671875,9.013671875,79748.34242120077,1017522071.2894968,12934808576635.848,797146.3062447718,1683.0701533135705,201574.62921070057,187647.57000904583,0.9978930792944763,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK,797146.3062447718,798829.3763980854,0.9978930792944765,88437.46669497793,88624.19083766408,112886522.31857473,1276.4558567458962,0.100042290601436,0.09983150942793985,0.2523375268440913,,,
campaign_scale,run_bridge_sensitivity.py,mixed_base,mixed,relative,OFF,OFF,K_max_total_tpy,537000.0,1.2,644400.0,cost_opt,8.013671875,8.414355468847488,9.414355468847488,79734.92435463626,1017417865.9478594,12316757977309.672,796983.7250350108,1824.8272801832225,221222.12606905313,166004.50562783793,0.9977155636667956,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK,796983.7250350108,798808.552315194,0.9977155636667956,84656.21758943188,84850.05213139512,108070899.7354667,1276.5854985346973,0.1000458627321826,0.09981731432837043,0.27694010714818096,,,
campaign_scale,run_bridge_sensitivity.py,mixed_base,mixed,relative,OFF,OFF,alpha,0.02,0.8,0.016,tau_star,8.013671875,8.013671875,9.013671875,79789.47968892936,1017816622.008195,12942299098052.623,797662.3327048796,1160.6029440413115,137438.24232746288,126721.31891436256,0.9985471086366612,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK,797662.3327048796,798822.935648921,0.9985471086366611,88494.7160010614,88623.476284344,112919200.53482033,1275.9993549611029,0.1000291431818807,0.09988381170366956,0.1720509467042473,,,
campaign_scale,run_bridge_sensitivity.py,mixed_base,mixed,relative,OFF,OFF,alpha,0.02,0.8,0.016,cost_opt,8.013671875,8.41435546884744,9.41435546884744,79779.87250085932,1017738945.045506,12324554240089.672,797547.273588853,1255.3742687088547,150626.39939977095,114006.24825814318,0.9984284300107468,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK,797547.273588853,798802.6478575618,0.9984284300107469,84716.07814554864,84849.42495541395,108105005.00148456,1276.0860437348383,0.10003152808969037,0.09987432154216548,0.18856522296684955,,,
campaign_scale,run_bridge_sensitivity.py,mixed_base,mixed,relative,OFF,OFF,alpha,0.02,1.0,0.02,tau_star,8.013671875,8.013671875,9.013671875,79769.15867387883,1017671279.274643,12938600451325.162,797407.3080810705,1419.2790015846483,169142.96028239856,156944.07963579855,0.9982232952376212,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK,797407.3080810705,798826.5870826552,0.9982232952376211,88466.42291170273,88623.88138381786,112903075.83718683,1276.2251724575099,0.10003565037024828,0.0998579165538278,0.2117392723496035,,,
campaign_scale,run_bridge_sensitivity.py,mixed_base,mixed,relative,OFF,OFF,alpha,0.02,1.0,0.02,cost_opt,8.013671875,8.414355468846258,9.414355468846258,79757.74984859531,1017581056.8668424,12320709171704.066,797269.8880675646,1535.734159386719,185434.60448669575,132179.55902994468,0.9980774620049552,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK,797269.8880675646,798805.6222269513,0.9980774620049552,84686.61404446322,84849.74089520394,108088233.9990449,1276.331982552698,0.10003858297208917,0.09984625499535489,0.2321398339307273,,,
campaign_scale,run_bridge_sensitivity.py,mixed_base,mixed,relative,OFF,OFF,alpha,0.02,1.2,0.024,tau_star,8.013671875,8.013671875,9.013671875,79749.09910183545,1017527478.3059514,12934946329401.225,797155.7920878036,1673.4898216652252,200386.4871261588,186533.97796301343,0.9979050720102984,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK,797155.7920878036,798829.2819094688,0.9979050720102985,88438.51907886358,88624.1803548533,112887122.18692245,1276.447450304513,0.1000420493627316,0.09983246847337453,0.25085020249529183,,,
