ScenarioLabel,Policy,t_yr,A_Mt,M_build_Mt,S_ops_Mt,FE_klaunch_per_yr,FA_klaunch_per_yr,U_se_Mt_per_yr,Phi_se_Mt_per_yr,rocket_health,Delivered_Mt_per_yr
rocket_only_base,tau_star,0.0,2.504563943532743e-38,0.0,0.0,99.82939416090869,0.0,0.0,0.0,1.0,12.478674270113586
rocket_only_base,tau_star,0.0320546875,2.051535520378166e-40,0.4000000041427816,0.0,99.82939416090858,0.0,0.0,0.0,1.0,12.478674270113572
rocket_only_base,tau_star,0.064109375,3.1617058676732204e-38,0.8000000082855627,0.0,99.82939416090854,0.0,0.0,0.0,1.0,12.478674270113567
rocket_only_base,tau_star,0.0961640625,-8.769028562351535e-39,1.2000000124283436,0.0,99.82939416090849,0.0,0.0,0.0,1.0,12.478674270113562
rocket_only_base,tau_star,0.12821875,2.3318242926116643e-38,1.6000000165711246,0.0,99.82939416090846,0.0,0.0,0.0,1.0,12.478674270113558
rocket_only_base,tau_star,0.1602734375,-2.377278256422299e-38,2.0000000207139053,0.0,99.82939416090845,0.0,0.0,0.0,1.0,12.478674270113556
rocket_only_base,tau_star,0.192328125,-7.017652964655088e-39,2.400000024856686,0.0,99.82939416090844,0.0,0.0,0.0,1.0,12.478674270113554
rocket_only_base,tau_star,0.22438281249999997,-2.5469817276158797e-38,2.8000000289994667,0.0,99.82939416090842,0.0,0.0,0.0,1.0,12.478674270113553
rocket_only_base,tau_star,0.2564375,-7.09288439217228e-39,3.200000033142247,0.0,99.82939416090841,0.0,0.0,0.0,1.0,12.478674270113551
rocket_only_base,tau_star,0.2884921875,-4.6353714962370703e-38,3.6000000372850276,0.0,99.82939416090841,0.0,0.0,0.0,1.0,12.478674270113551
rocket_only_base,tau_star,0.320546875,2.352863736009196e-38,4.000000041427809,0.0,99.82939416090838,0.0,0.0,0.0,1.0,12.478674270113547
rocket_only_base,tau_star,0.35260156249999997,-3.0938944040863864e-38,4.400000045570589,0.0,99.8293941609084,0.0,0.0,0.0,1.0,12.47867427011355
rocket_only_base,tau_star,0.38465625,-4.6773597620866973e-38,4.800000049713369,0.0,99.82939416090836,0.0,0.0,0.0,1.0,12.478674270113547
