param,direction,value,cost,tau_build,env_total,delta_cost,delta_tau,delta_env,rel_delta_cost,rel_delta_tau,rel_delta_env,status,abs_delta_cost
L_R_ton_per_launch,down,112.5,88587.72870706355,9.334899902442196,1130343401.7223716,8829.97885846824,0.9205444335959374,112762344.85552931,0.11070997959734633,0.10940165732291776,0.11081411558773255,OK,8829.97885846824
C_E_dollars_per_launch,up,110000000.00000001,87730.44872928882,8.414355468846258,1017581056.8670156,7972.6988806935115,0.0,0.00017333030700683594,0.09996143190885075,0.0,1.7033562666793772e-13,OK,7972.6988806935115
C_E_dollars_per_launch,down,90000000.0,71785.05096790589,8.414355468846258,1017581056.8666667,-7972.698880689422,0.0,-0.00017559528350830078,-0.09996143190879948,0.0,-1.725614704827182e-13,OK,7972.698880689422
L_R_ton_per_launch,up,137.5,72526.99818533071,7.647235107518847,925264656.3628962,-7230.7516632646,-0.7671203613274109,-92316400.50394607,-0.09065892251211682,-0.09116804776879664,-0.09072142202429612,OK,7230.7516632646
K_max_total_tpy,up,590700.0,79746.23851467675,8.414355468848814,1017498613.3493071,-11.511333918562741,2.5561774918969604e-12,-82443.51753520966,-0.00014432871965940346,3.037876758785724e-13,-8.101911585211239e-05,OK,11.511333918562741
delta_eff,up,0.9585400000000001,79746.24706432619,8.41435546884868,1017498689.7471635,-11.50278426911973,2.4211743721025414e-12,-82367.11967873573,-0.00014422152444064113,2.877432954986061e-13,-8.094403794459988e-05,OK,11.50278426911973
delta_eff,down,0.78426,79769.11826453441,8.414355468846816,1017662218.1158293,11.368415939097758,5.577760475716786e-13,81161.24898707867,0.00014253681881294924,6.62886242014397e-14,7.975900144699647e-05,OK,11.368415939097758
K_max_total_tpy,down,483300.0,79769.07707854312,8.414355468847868,1017661861.1954103,11.327229947812157,1.609379296496627e-12,80804.32856798172,0.0001420204302317294,1.9126590295065087e-13,7.940824765034471e-05,OK,11.327229947812157
alpha,up,0.022000000000000002,79746.65505926736,8.414355468848802,1017501579.3499732,-11.09478932795173,2.5437429940211587e-12,-79477.51686906815,-0.00013910609751419825,3.0230990400147025e-13,-7.810435967998601e-05,OK,11.09478932795173
alpha,down,0.018000000000000002,79768.75136401279,8.41435546884733,1017659549.0576391,11.001515417476185,1.071143174158351e-12,78492.19079685211,0.00013793663234432313,1.2729949169894313e-13,7.713605738547409e-05,OK,11.001515417476185
r,up,0.198,79747.17457958963,8.414355468848866,1017505477.6307027,-10.575269005683367,2.6076918402395677e-12,-75579.2361395359,-0.00013259236908963045,3.0990987365513854e-13,-7.427343073017326e-05,OK,10.575269005683367
r,down,0.162,79767.1934609098,8.414355468847331,1017648261.6119654,9.443612314484199,1.0729195309977513e-12,67204.74512314796,0.00011840369534510532,1.275106019671006e-13,6.604362833765112e-05,OK,9.443612314484199
C_A_dollars_per_launch,down,18000000.0,79754.67838028062,8.414355468846258,1017581056.8668855,-3.071468314694357,0.0,4.3272972106933594e-05,-3.850996700038488e-05,0.0,4.2525331829753363e-14,OK,3.071468314694357
C_A_dollars_per_launch,up,22000000.0,79760.82131690989,8.414355468846258,1017581056.8667966,3.071468314577942,0.0,-4.565715789794922e-05,3.850996699892526e-05,0.0,-4.486832531899597e-14,OK,3.071468314577942
gamma_env,up,0.00011000000000000002,79757.7808396433,8.414355468845853,1017581357.0257459,0.030991047984571196,-4.050093593832571e-13,300.1589035987854,3.8856472309464245e-07,-4.81331411398989e-14,2.9497296709019156e-07,OK,0.030991047984571196
gamma_env,down,9e-05,79757.73128739948,8.414355468846447,1017580881.5887384,-0.018561195829533972,1.8829382497642655e-13,-175.27810382843018,-2.3271965250735907e-07,2.237768842468984e-14,-1.722497708124755e-07,OK,0.018561195829533972
C_SE_dollars_per_ton,down,225.0,79757.74521272982,8.414355468846258,1017581056.8668389,-0.004635865494492464,0.0,-3.337860107421875e-06,-5.812432651739498e-08,0.0,-3.2801908849396533e-15,OK,0.004635865494492464
C_SE_dollars_per_ton,up,275.0,79757.75448446031,8.414355468846258,1017581056.8668411,0.004635864999727346,0.0,-1.1920928955078125e-06,5.812432031404648e-08,0.0,-1.1714967446213048e-15,OK,0.004635864999727346
se_fail_severity,down,,,,,,,,,,,SKIPPED_INACTIVE_FAILURE,
se_fail_severity,up,,,,,,,,,,,SKIPPED_INACTIVE_FAILURE,
rocket_fail_severity,down,,,,,,,,,,,SKIPPED_INACTIVE_FAILURE,
rocket_fail_severity,up,,,,,,,,,,,SKIPPED_INACTIVE_FAILURE,
