model_layer,iK,iE,Keff_tpy,K_max_total,delta_eff,epsilon,epsilon_mult,JE_ref,gamma_ref,gamma_star,JE,JE_relerr,phaseout_t,phaseout_label,status
reduced_mature_regime,0,0,116985.45,134250.0,0.8714,375552378.4976685,0.05,7511047569.953368,1e-08,0.3981071705534973,11346380162.26792,29.21251045635,,Never,approx_grid_no_sign_change
reduced_mature_regime,0,1,116985.45,134250.0,0.8714,751104756.9953369,0.1,7511047569.953368,1e-08,0.3981071705534973,11346380162.26792,14.106255228175002,,Never,approx_grid_no_sign_change
reduced_mature_regime,0,2,116985.45,134250.0,0.8714,1502209513.9906738,0.2,7511047569.953368,1e-08,0.3981071705534973,11346380162.26792,6.553127614087501,,Never,approx_grid_no_sign_change
reduced_mature_regime,0,3,116985.45,134250.0,0.8714,3755523784.976684,0.5,7511047569.953368,1e-08,0.3981071705534973,11346380162.26792,2.021251045635,,Never,approx_grid_no_sign_change
reduced_mature_regime,0,4,116985.45,134250.0,0.8714,7511047569.953368,1.0,7511047569.953368,1e-08,0.3981071705534973,11346380162.26792,0.5106255228175002,,Never,approx_grid_no_sign_change
reduced_mature_regime,0,5,116985.45,134250.0,0.8714,15022095139.906736,2.0,7511047569.953368,1e-08,0.0001359356390878,11346380276.661274,0.2446872309762433,,Never,approx_grid_no_sign_change
reduced_mature_regime,0,6,116985.45,134250.0,0.8714,37555237849.76684,5.0,7511047569.953368,1e-08,0.0001359356390878,11346380276.661274,0.6978748923904973,,Never,approx_grid_no_sign_change
reduced_mature_regime,0,7,116985.45,134250.0,0.8714,75110475699.53368,10.0,7511047569.953368,1e-08,0.0001359356390878,11346380276.661274,0.8489374461952487,,Never,approx_grid_no_sign_change
reduced_mature_regime,1,0,233970.9,268500.0,0.8714,375552378.4976685,0.05,7511047569.953368,1e-08,1.0,9980348117.784817,25.575116253315855,,Never,approx_grid_no_sign_change
reduced_mature_regime,1,1,233970.9,268500.0,0.8714,751104756.9953369,0.1,7511047569.953368,1e-08,1.0,9980348117.784817,12.287558126657927,,Never,approx_grid_no_sign_change
reduced_mature_regime,1,2,233970.9,268500.0,0.8714,1502209513.9906738,0.2,7511047569.953368,1e-08,1.0,9980348117.784817,5.643779063328964,,Never,approx_grid_no_sign_change
reduced_mature_regime,1,3,233970.9,268500.0,0.8714,3755523784.976684,0.5,7511047569.953368,1e-08,1.0,9980348117.784817,1.6575116253315856,,Never,approx_grid_no_sign_change
reduced_mature_regime,1,4,233970.9,268500.0,0.8714,7511047569.953368,1.0,7511047569.953368,1e-08,1.0,9980348117.784817,0.3287558126657929,,Never,approx_grid_no_sign_change
reduced_mature_regime,1,5,233970.9,268500.0,0.8714,15022095139.906736,2.0,7511047569.953368,1e-08,0.0029286445646252,9980349806.00896,0.3356219812843682,,Never,approx_grid_no_sign_change
reduced_mature_regime,1,6,233970.9,268500.0,0.8714,37555237849.76684,5.0,7511047569.953368,1e-08,0.0029286445646252,9980349806.00896,0.7342487925137473,,Never,approx_grid_no_sign_change
reduced_mature_regime,1,7,233970.9,268500.0,0.8714,75110475699.53368,10.0,7511047569.953368,1e-08,0.0029286445646252,9980349806.00896,0.8671243962568737,,Never,approx_grid_no_sign_change
reduced_mature_regime,2,0,350956.35,402750.0,0.8714,375552378.4976685,0.05,7511047569.953368,1e-08,0.1584893192461114,8701903889.913551,22.170946020163672,,Never,approx_grid_no_sign_change
reduced_mature_regime,2,1,350956.35,402750.0,0.8714,751104756.9953369,0.1,7511047569.953368,1e-08,0.1584893192461114,8701903889.913551,10.585473010081836,,Never,approx_grid_no_sign_change
reduced_mature_regime,2,2,350956.35,402750.0,0.8714,1502209513.9906738,0.2,7511047569.953368,1e-08,0.1584893192461114,8701903889.913551,4.792736505040917,,Never,approx_grid_no_sign_change
reduced_mature_regime,2,3,350956.35,402750.0,0.8714,3755523784.976684,0.5,7511047569.953368,1e-08,0.1584893192461114,8701903889.913551,1.3170946020163672,,Never,approx_grid_no_sign_change
reduced_mature_regime,2,4,350956.35,402750.0,0.8714,7511047569.953368,1.0,7511047569.953368,1e-08,0.1584893192461114,8701903889.913551,0.1585473010081836,,Never,approx_grid_no_sign_change
reduced_mature_regime,2,5,350956.35,402750.0,0.8714,15022095139.906736,2.0,7511047569.953368,1e-08,0.0029286445646252,8701905554.51588,0.4207262386856441,,Never,approx_grid_no_sign_change
reduced_mature_regime,2,6,350956.35,402750.0,0.8714,37555237849.76684,5.0,7511047569.953368,1e-08,0.0029286445646252,8701905554.51588,0.7682904954742577,,Never,approx_grid_no_sign_change
reduced_mature_regime,2,7,350956.35,402750.0,0.8714,75110475699.53368,10.0,7511047569.953368,1e-08,0.0029286445646252374,8701905554.51588,0.8841452477371288,,Never,approx_grid_no_sign_change
reduced_mature_regime,3,0,467941.8,537000.0,0.8714,375552378.49766845,0.05,7511047569.953368,1e-08,1.0,7511047465.068331,18.999999720717952,,Never,approx_grid_no_sign_change
reduced_mature_regime,3,1,467941.8,537000.0,0.8714,751104756.9953369,0.1,7511047569.953368,1e-08,1.0,7511047465.068331,8.999999860358976,,Never,approx_grid_no_sign_change
reduced_mature_regime,3,2,467941.8,537000.0,0.8714,1502209513.9906738,0.2,7511047569.953368,1e-08,1.0,7511047465.068331,3.9999999301794875,,Never,approx_grid_no_sign_change
reduced_mature_regime,3,3,467941.8,537000.0,0.8714,3755523784.976684,0.5,7511047569.953368,1e-08,1.0,7511047465.068331,0.9999999720717951,,Never,approx_grid_no_sign_change
reduced_mature_regime,3,4,467941.8,537000.0,0.8714,7511047569.953368,1.0,7511047569.953368,1e-08,0.00025118864315095795,7511047568.79616,1.5406751613679006e-10,,Never,ok_grid
reduced_mature_regime,3,5,467941.8,537000.0,0.8714,15022095139.906736,2.0,7511047569.953368,1e-08,0.0003414548873833601,7511049225.82746,0.49999988977076254,,Never,approx_grid_no_sign_change
reduced_mature_regime,3,6,467941.8,537000.0,0.8714,37555237849.76684,5.0,7511047569.953368,1e-08,0.0003414548873833601,7511049225.82746,0.799999955908305,,Never,approx_grid_no_sign_change
